original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
On the Line,2001,"Comedy, Family, Romance",85,USA,English,4.2,4.544601,19.0,42.0
Undercover Brother,2002,"Action, Comedy",86,USA,English,5.8,41.604473,77.0,58.0
Divine Secrets of the Ya-Ya Sisterhood,2002,Drama,116,USA,English,6.1,73.83924,45.0,61.0
Sorority Boys,2002,Comedy,93,USA,"English, Indonesian",5.5,12.517488,12.0,55.0
Joe Somebody,2001,"Comedy, Drama",98,USA,English,5.5,24.516772,21.0,55.0
Return to Never Land,2002,"Animation, Adventure, Family",72,"USA, Canada, Australia",English,5.8,115.121981,45.0,58.0
Trapped,2002,"Action, Crime, Drama",106,"USA, Germany",English,6.2,13.414416,17.0,62.0
The Banger Sisters,2002,"Comedy, Drama",98,USA,English,5.6,38.068353,48.0,56.0
Better Luck Tomorrow,2002,"Crime, Drama, Romance",101,USA,English,7.0,3.809226,81.0,70.0
Bad Company,2002,"Action, Comedy, Thriller",116,"USA, Czech Republic",English,5.6,66.200782,10.0,56.0
Bloody Sunday,2002,"Drama, History, War",107,"UK, Ireland",English,7.6,1.758689,92.0,76.0
Mr. Deeds,2002,"Comedy, Romance",96,USA,English,5.8,171.269535,22.0,58.0
Dog Soldiers,2002,"Action, Horror, Thriller",105,"UK, Luxembourg",English,6.8,3.53062,79.0,68.0
Femme Fatale,2002,"Crime, Drama, Mystery",114,"France, Switzerland","English, French, Spanish",6.2,16.83891,49.0,62.0
Gosford Park,2001,"Comedy, Drama, Mystery",131,"USA, UK, Italy",English,7.2,87.754044,86.0,72.0
Igby Goes Down,2002,"Comedy, Drama",98,USA,English,6.9,6.919198,76.0,69.0
Iris,2001,"Biography, Drama, Romance",91,"UK, USA",English,7.0,16.153953,79.0,70.0
Undisputed,2002,"Action, Crime, Drama",96,"USA, Germany, Japan","English, German",6.2,14.94615,48.0,62.0
A Walk to Remember,2002,"Drama, Romance",101,USA,English,7.4,47.494916,27.0,74.0
Wasabi,2001,"Action, Drama, Comedy",94,"France, Japan","French, Japanese",6.7,10.36636,43.0,67.0
Snow Dogs,2002,"Adventure, Comedy, Family",99,"Canada, USA",English,5.2,115.03509,25.0,52.0
The Wild Thornberrys Movie,2002,"Animation, Adventure, Comedy",85,USA,English,5.6,60.694737,80.0,56.0
Darkness Falls,2003,"Fantasy, Horror, Mystery",86,"USA, Australia",English,5.0,47.488536,9.0,50.0
Life or Something Like It,2002,"Comedy, Romance",103,USA,English,5.8,16.872671,28.0,58.0
Swimfan,2002,"Drama, Thriller",85,USA,English,5.1,34.41124,15.0,51.0
Tuck Everlasting,2002,"Drama, Family, Fantasy",90,USA,"English, French",6.6,19.344615,60.0,66.0
National Lampoon's Van Wilder,2002,"Comedy, Romance",92,"Germany, USA",English,6.4,38.275483,18.0,64.0
White Oleander,2002,Drama,109,USA,"English, Russian",7.1,21.672284,68.0,71.0
Extreme Ops,2002,"Action, Adventure, Thriller",93,"UK, Germany, Luxembourg","English, German, Japanese, Serbo-Croatian",4.5,10.959475,7.0,45.0
The Jungle Book 2,2003,"Animation, Adventure, Family",72,"USA, Australia",English,5.4,186.303759,18.0,54.0
Martin & Orloff,2002,Comedy,87,USA,English,6.6,0.034222,47.0,66.0
Brooklyn Rules,2007,"Crime, Drama",99,USA,English,6.3,0.458232,45.0,63.0
No Man's Land,2001,"Comedy, Drama, War",98,"France, Bosnia and Herzegovina, Italy, Belgium, UK, Slovenia","Bosnian, French, English, Serbian",7.9,4.858869,93.0,79.0
They,2002,"Horror, Mystery, Thriller",89,"USA, Canada",English,4.8,16.446271,38.0,48.0
Showtime,2002,"Action, Comedy, Crime",95,"USA, Australia",English,5.5,77.885672,25.0,55.0
Skins,2002,"Crime, Drama",84,USA,English,7.1,0.249204,59.0,71.0
Pauly Shore Is Dead,2003,Comedy,82,USA,English,4.4,0.011,57.0,44.0
The Anarchist Cookbook,2002,"Comedy, Drama, Romance",101,USA,English,5.1,0.014369,37.0,51.0
Cypher,2002,"Mystery, Sci-Fi, Thriller",95,USA,English,6.8,0.898365,58.0,68.0
Havoc,2005,"Crime, Drama",85,"USA, Germany","English, Spanish",5.5,0.371,45.0,55.0
Crazy as Hell,2002,"Drama, Thriller",113,USA,English,6.0,0.021679,53.0,60.0
Dreamcatcher,2003,"Drama, Horror, Sci-Fi",136,"USA, Canada",English,5.5,81.240406,28.0,55.0
Dahmer,2002,"Biography, Crime, Drama",101,USA,English,5.6,0.144008,69.0,56.0
Signs,2002,"Drama, Mystery, Sci-Fi",106,USA,"English, Portuguese",6.7,408.247917,74.0,67.0
Stark Raving Mad,2002,"Action, Comedy, Crime",101,USA,English,6.3,0.167572,20.0,63.0
Stolen Summer,2002,Drama,91,USA,English,6.5,0.163348,36.0,65.0
Sunshine State,2002,"Drama, Romance",141,USA,English,6.7,3.369654,80.0,67.0
All or Nothing,2002,Drama,128,"UK, France","English, Arabic, French",7.5,2.845696,82.0,75.0
Hulk,2003,"Action, Sci-Fi",138,USA,"English, Spanish",5.6,245.285165,62.0,56.0
What a Girl Wants,2003,"Comedy, Drama, Family",105,"USA, UK",English,5.8,50.732139,35.0,58.0
Daredevil,2003,"Action, Crime",103,"USA, China","English, Greek, Italian",5.3,179.179718,44.0,53.0
The Medallion,2003,"Action, Comedy, Fantasy",88,"Hong Kong, USA",English,5.3,34.268701,17.0,53.0
Ghost Ship,2002,Horror,91,"USA, Australia","English, Italian, Spanish",5.5,68.349884,16.0,55.0
Between Strangers,2002,Drama,95,"Canada, Italy",English,6.1,0.048821,25.0,61.0
Red Dragon,2002,"Crime, Drama, Thriller",124,"Germany, USA","English, French",7.2,209.196298,68.0,72.0
Analyze That,2002,"Comedy, Crime",96,USA,English,5.9,55.003135,27.0,59.0
The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",113,"USA, Canada",English,7.6,96.822421,33.0,76.0
The Life of David Gale,2003,"Crime, Drama, Thriller",130,"USA, Germany, UK, Spain","English, Spanish",7.6,38.955598,19.0,76.0
Meet the Fockers,2004,"Comedy, Romance",115,USA,"English, Spanish, Hebrew",6.3,522.657936,39.0,63.0
The Tuxedo,2002,"Action, Comedy, Sci-Fi",98,USA,"English, Cantonese",5.4,104.391623,21.0,54.0
Max,2002,"Drama, War",106,"Hungary, Canada, UK",English,6.5,0.660763,69.0,65.0
Full Frontal,2002,"Comedy, Romance",101,USA,English,4.7,3.438804,39.0,47.0
The Wash,2001,Comedy,96,USA,English,4.8,10.229331,8.0,48.0
Irréversible,2002,"Crime, Drama, Mystery",97,France,"French, Spanish, Italian, English",7.4,6.479328,57.0,74.0
Swept Away,2002,"Comedy, Romance",89,"UK, Italy","English, Greek, Italian",3.6,1.03652,5.0,36.0
Love in the Time of Money,2002,"Comedy, Drama, Romance",90,USA,English,5.4,0.01041,18.0,54.0
The Recruit,2003,"Action, Thriller",115,"USA, Switzerland","English, Persian, Russian",6.6,101.191884,43.0,66.0
The Rules of Attraction,2002,"Comedy, Drama, Romance",110,"USA, Germany","English, German",6.7,11.832822,43.0,67.0
Before the Devil Knows You're Dead,2007,"Crime, Drama, Thriller",117,USA,English,7.3,25.038466,88.0,73.0
Rush Hour 3,2007,"Action, Comedy, Crime",91,"USA, Germany","English, French, Japanese, Mandarin, Latin",6.2,258.097122,18.0,62.0
The Transporter,2002,"Action, Crime, Thriller",92,"France, USA","English, French, Mandarin",6.8,43.928932,54.0,68.0
Friday After Next,2002,"Comedy, Drama",85,USA,English,5.8,33.526835,26.0,58.0
Beyond Borders,2003,"Adventure, Drama, Romance",127,"Germany, USA","English, Amharic, Khmer, German, Chechen",6.5,11.705002,14.0,65.0
Rent,2005,"Drama, Musical, Romance",135,USA,English,6.9,31.67062,46.0,69.0
Austin Powers in Goldmember,2002,"Action, Adventure, Comedy",94,USA,"English, Japanese, German, French",6.2,296.938801,53.0,62.0
Personal Velocity: Three Portraits,2002,"Drama, Romance",86,USA,English,6.5,0.890502,69.0,65.0
Feardotcom,2002,"Crime, Horror, Thriller",101,"UK, Germany, Luxembourg, USA, Canada",English,3.4,18.902015,3.0,34.0
A Guy Thing,2003,"Comedy, Romance",101,USA,English,5.6,17.432163,24.0,56.0
Harry Potter and the Chamber of Secrets,2002,"Adventure, Family, Fantasy",161,"UK, USA, Germany",English,7.4,879.569371,82.0,74.0
The Master of Disguise,2002,"Adventure, Comedy, Family",80,USA,English,3.4,43.411001,1.0,34.0
Going Shopping,2005,"Drama, Romance",106,USA,English,5.1,0.031908,40.0,51.0
Wrong Turn,2003,"Horror, Thriller",84,"USA, Germany, Canada",English,6.1,28.650575,40.0,61.0
Time Changer,2002,"Drama, Fantasy, Sci-Fi",95,USA,English,5.2,1.305964,22.0,52.0
Real Women Have Curves,2002,"Comedy, Drama",90,USA,"English, Spanish",6.8,7.77779,84.0,68.0
The Chronicles of Riddick,2004,"Action, Adventure, Sci-Fi",119,USA,English,6.7,115.900534,29.0,67.0
Brown Sugar,2002,"Romance, Comedy, Drama",109,USA,English,6.5,28.316451,66.0,65.0
Half Past Dead,2002,"Action, Crime, Thriller",98,"USA, Germany",English,4.7,19.23328,3.0,47.0
I Spy,2002,"Action, Adventure, Comedy",97,"USA, Hungary","English, Hungarian, Russian",5.4,51.386477,16.0,54.0
The Ring,2002,"Horror, Mystery",115,USA,English,7.1,249.348933,71.0,71.0
Shrek 2,2004,"Animation, Adventure, Comedy",93,USA,English,7.2,928.76077,89.0,72.0
8 Mile,2002,"Drama, Music",110,"USA, Germany",English,7.1,242.875078,75.0,71.0
Auto Focus,2002,"Biography, Crime, Drama",105,USA,English,6.6,2.704951,71.0,66.0
Cherish,2002,"Comedy, Drama, Thriller",99,USA,English,6.7,0.179751,51.0,67.0
The Core,2003,"Action, Adventure, Sci-Fi",135,"USA, Germany, Canada, UK, Italy, France",English,5.5,73.498611,40.0,55.0
Evelyn,2002,Drama,94,"USA, Germany, Ireland, UK, Netherlands",English,7.0,4.186916,64.0,70.0
Roger Dodger,2002,"Comedy, Drama",106,USA,"English, German",6.9,1.934497,88.0,69.0
Home on the Range,2004,"Animation, Adventure, Comedy",76,USA,"English, Mandarin",5.4,145.358062,53.0,54.0
All the Real Girls,2003,"Drama, Romance",108,USA,English,6.8,0.579986,71.0,68.0
Chicago,2002,"Comedy, Crime, Musical",113,"USA, Germany, Canada, UK","English, Hungarian",7.1,306.776732,86.0,71.0
Gigli,2003,"Comedy, Crime, Romance",121,USA,English,2.5,7.266209,6.0,25.0
I Capture the Castle,2003,"Drama, Romance",113,UK,English,6.9,6.586341,79.0,69.0
Jersey Girl,2004,"Comedy, Drama, Romance",102,USA,English,6.2,35.492921,42.0,62.0
Shanghai Knights,2003,"Action, Adventure, Comedy",114,"USA, Hong Kong","English, Mandarin",6.2,88.323487,66.0,62.0
Blue Crush,2002,"Drama, Romance, Sport",104,"USA, Germany",English,5.7,51.843679,61.0,57.0
Timeline,2003,"Action, Adventure, Sci-Fi",116,USA,"English, French",5.7,43.935763,11.0,57.0
Dead or Alive: Final,2002,"Action, Comedy, Crime",89,Japan,"Japanese, Cantonese",5.7,0.002591,42.0,57.0
Jeepers Creepers 2,2003,Horror,106,USA,English,5.6,63.102666,24.0,56.0
State Property,2002,"Drama, Crime, Action",88,USA,English,4.5,2.106838,0.0,45.0
The Hot Chick,2002,"Comedy, Fantasy",104,USA,English,5.5,54.639553,22.0,55.0
Old School,2003,Comedy,88,USA,English,7.1,87.13552,60.0,71.0
Barbershop,2002,"Comedy, Drama",102,USA,English,6.3,77.063924,83.0,63.0
Cabin Fever,2002,"Drama, Horror",93,USA,English,5.7,30.553394,62.0,57.0
Drumline,2002,"Comedy, Drama, Romance",118,USA,English,5.8,57.588485,82.0,58.0
H,2002,"Drama, Mystery, Thriller",106,South Korea,Korean,5.9,0.438227,80.0,59.0
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142,"UK, USA",English,7.9,796.158319,90.0,79.0
Japanese Story,2003,"Drama, Romance",110,Australia,"English, Japanese",6.7,4.098613,68.0,67.0
Mona Lisa Smile,2003,Drama,117,USA,"English, Italian",6.5,141.337989,34.0,65.0
The Santa Clause 2,2002,"Comedy, Family, Fantasy",104,"USA, Canada",English,5.6,172.855065,56.0,56.0
The Order,2003,"Horror, Mystery, Thriller",102,"USA, Germany","English, Syriac, Aramaic, Italian, Latin",5.2,11.560806,8.0,52.0
American Splendor,2003,"Biography, Comedy, Drama",101,USA,English,7.4,7.986084,94.0,74.0
Anger Management,2003,Comedy,106,USA,English,6.3,195.745823,42.0,63.0
The Crocodile Hunter: Collision Course,2002,"Action, Adventure, Comedy",90,"Australia, USA",English,5.3,33.082548,53.0,53.0
Bringing Down the House,2003,Comedy,105,USA,English,5.6,164.729679,34.0,56.0
Scary Movie 3,2003,"Comedy, Horror",84,"USA, Canada",English,5.5,220.673217,35.0,55.0
The Singles Ward,2002,"Comedy, Drama, Romance",102,USA,English,6.4,1.250798,50.0,64.0
Brother to Brother,2004,Drama,94,USA,English,7.1,0.080906,77.0,71.0
Cradle 2 the Grave,2003,"Action, Crime, Drama",101,USA,"English, Mandarin, Korean",5.8,56.489558,25.0,58.0
The Lizzie McGuire Movie,2003,"Adventure, Comedy, Family",94,USA,"English, Italian",5.5,55.534455,41.0,55.0
Prey for Rock & Roll,2003,"Drama, Music",104,USA,English,6.2,0.086277,56.0,62.0
Shark Tale,2004,"Animation, Adventure, Comedy",90,USA,English,6.0,374.583879,36.0,60.0
Solaris,2002,"Drama, Mystery, Romance",99,USA,English,6.2,30.002758,66.0,62.0
Bad Santa,2003,"Comedy, Crime, Drama",92,"Germany, USA",English,7.0,76.488889,79.0,70.0
Bobby,2006,"Biography, Drama, History",117,USA,"English, Spanish",7.0,20.718608,47.0,70.0
Ballistic: Ecks vs. Sever,2002,"Action, Crime, Mystery",91,"USA, Germany",English,3.7,20.154899,0.0,37.0
The Human Stain,2003,"Drama, Romance, Thriller",106,"Germany, Ireland, USA",English,6.2,22.954068,42.0,62.0
Interview with the Assassin,2002,Drama,88,USA,English,6.5,0.048058,66.0,65.0
Like Mike,2002,"Comedy, Family, Fantasy",99,USA,English,5.3,62.27478,57.0,53.0
Finding Neverland,2004,"Biography, Drama, Family",106,"USA, UK",English,7.7,116.650613,83.0,77.0
Blizzard,2003,"Comedy, Family",93,"USA, Canada",English,5.7,0.57632,67.0,57.0
Blood Work,2002,"Action, Crime, Drama",110,USA,"English, Spanish",6.4,31.794718,53.0,64.0
The Dogwalker,2002,Drama,99,USA,,6.9,0.012024,50.0,69.0
Final Destination 2,2003,"Horror, Thriller",90,"USA, Canada",English,6.2,90.941129,48.0,62.0
Identity,2003,"Mystery, Thriller",90,USA,English,7.3,90.259536,62.0,73.0
Luther,2003,"Biography, Drama, History",123,"Germany, USA, Czech Republic, Italy","English, Latin",6.5,29.632684,45.0,65.0
Nicholas Nickleby,2002,"Adventure, Drama, Romance",132,"UK, USA",English,7.1,3.651462,78.0,71.0
A Mighty Wind,2003,"Comedy, Music",91,USA,English,7.2,18.750246,87.0,72.0
Willard,2003,"Drama, Horror, Thriller",100,"Canada, USA",English,6.1,8.564586,64.0,61.0
Confidence,2003,"Crime, Thriller",97,"USA, Canada, Germany",English,6.7,23.014206,69.0,67.0
Crime Spree,2003,"Action, Comedy, Crime",105,"UK, Canada","English, French",6.5,2.451607,33.0,65.0
It Runs in the Family,2003,"Comedy, Drama, Romance",109,USA,"English, Hebrew, Spanish",5.6,8.211508,29.0,56.0
Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",138,USA,"English, French, Portuguese",7.4,211.622535,85.0,74.0
Holes,2003,"Adventure, Comedy, Drama",117,USA,English,7.0,71.406573,78.0,70.0
The League of Extraordinary Gentlemen,2003,"Action, Adventure, Fantasy",110,"USA, Germany, Czech Republic, UK","English, German, Italian",5.8,179.265204,17.0,58.0
Pieces of April,2003,"Comedy, Drama",80,USA,"English, Mandarin",7.0,3.282321,84.0,70.0
Against the Ropes,2004,"Biography, Drama, Romance",110,"USA, Germany",English,5.3,6.596511,12.0,53.0
Veronica Guerin,2003,"Biography, Crime, Drama",98,"Ireland, UK, USA",English,6.9,9.43966,53.0,69.0
The Blue Butterfly,2004,"Drama, Adventure",97,"Canada, USA, UK","English, Spanish, French",6.3,1.775619,44.0,63.0
Out of Time,2003,"Crime, Drama, Mystery",105,USA,English,6.5,55.495563,64.0,65.0
Runaway Jury,2003,"Crime, Drama, Thriller",127,USA,"English, French, Italian",7.1,80.15414,73.0,71.0
Two Weeks Notice,2002,"Comedy, Romance",101,"USA, Australia",English,6.1,199.043242,42.0,61.0
Anything Else,2003,"Comedy, Romance",108,"USA, France, UK","English, Latin",6.3,13.585075,40.0,63.0
Agent Cody Banks,2003,"Action, Adventure, Comedy",102,"USA, Canada",English,5.1,58.795814,38.0,51.0
Hey Arnold! The Movie,2002,"Animation, Adventure, Comedy",76,USA,English,6.0,15.249308,29.0,60.0
Love Actually,2003,"Comedy, Drama, Romance",135,"UK, USA, France","English, Portuguese, French",7.6,244.935382,64.0,76.0
Tears of the Sun,2003,"Action, Drama, Thriller",121,USA,English,6.6,86.468162,33.0,66.0
Hope Springs,2003,"Comedy, Romance",92,"UK, USA",English,5.4,1.567189,23.0,54.0
The Perfect Score,2004,"Comedy, Crime",93,"USA, Germany",English,5.7,10.898337,16.0,57.0
The Singing Detective,2003,"Comedy, Crime, Musical",109,USA,English,5.5,0.435625,39.0,55.0
The In-Laws,2003,"Action, Comedy, Thriller",98,"USA, Germany, Canada","English, French, Mandarin",5.8,26.891849,33.0,58.0
Benji: Off the Leash!,2004,"Drama, Family",97,USA,English,5.0,3.817362,33.0,50.0
Twisted,2004,"Crime, Drama, Mystery",97,"Germany, USA","English, Italian, Spanish",5.3,40.954603,1.0,53.0
Bruce Almighty,2003,"Comedy, Fantasy",101,USA,"English, Spanish",6.8,484.592874,48.0,68.0
21 Grams,2003,"Crime, Drama, Thriller",124,USA,English,7.7,60.427839,80.0,77.0
The Big Bounce,2004,"Comedy, Crime",88,USA,English,4.9,6.80855,16.0,49.0
House of Sand and Fog,2003,"Crime, Drama",126,USA,"English, Persian",7.5,16.763804,74.0,75.0
Open Range,2003,"Action, Drama, Romance",139,USA,English,7.4,68.296293,79.0,74.0
Peter Pan,2003,"Adventure, Family, Fantasy",113,"UK, Australia, USA, New Zealand","English, North American Indian",6.8,121.975011,77.0,68.0
Radio,2003,"Biography, Drama, Sport",109,USA,English,6.9,53.293628,35.0,69.0
Spider-Man 2,2004,"Action, Adventure, Sci-Fi",127,USA,"English, Russian, Chinese",7.3,788.976453,93.0,73.0
Taxi,2004,"Action, Comedy, Crime",97,"USA, France","English, Portuguese, Spanish",4.5,71.255003,9.0,45.0
Because of Winn-Dixie,2005,"Comedy, Drama, Family",106,USA,English,6.3,33.589427,55.0,63.0
Bridget Jones: The Edge of Reason,2004,"Comedy, Drama, Romance",108,"UK, France, Germany, Ireland, USA","English, German, Thai",6.0,265.126918,27.0,60.0
Cars,2006,"Animation, Comedy, Family",117,USA,"English, Italian, Japanese, Yiddish",7.1,461.991867,75.0,71.0
Daddy Day Care,2003,"Comedy, Family",92,USA,"English, Klingon, German",5.6,164.433867,27.0,56.0
The Hebrew Hammer,2003,Comedy,85,USA,"English, Hebrew, Yiddish",6.1,0.094615,46.0,61.0
Hidalgo,2004,"Action, Adventure, Biography",136,"USA, Morocco","English, Arabic, Sioux",6.7,108.040622,46.0,67.0
House of the Dead,2003,"Action, Adventure, Horror",90,"Germany, Canada, USA",English,2.0,13.818181,3.0,20.0
The Incredibles,2004,"Animation, Action, Adventure",115,USA,"English, French",8.0,631.606713,97.0,80.0
The Italian Job,2003,"Action, Crime, Thriller",111,"USA, France, Italy, UK, Germany","English, Russian, Italian",7.0,176.070171,73.0,70.0
Madame Satã,2002,"Biography, Crime, Drama",105,"Brazil, France",Portuguese,7.1,0.419046,60.0,71.0
Mission: Impossible III,2006,"Action, Adventure, Thriller",126,"USA, Germany, China, Italy","English, Italian, Mandarin, Cantonese, German, Czech",6.9,398.479497,71.0,69.0
Nola,2003,"Comedy, Romance",97,USA,English,5.3,0.01055,0.0,53.0
A Sound of Thunder,2005,"Action, Adventure, Horror",101,"Czech Republic, UK, Germany, USA","English, Mandarin",4.2,11.665465,6.0,42.0
Looney Tunes: Back in Action,2003,"Animation, Adventure, Comedy",93,"Germany, USA",English,5.7,68.514844,56.0,57.0
Alex & Emma,2003,"Comedy, Romance",96,USA,"English, French",5.6,15.368897,11.0,56.0
The Cooler,2003,"Drama, Romance",101,USA,English,6.9,10.464788,77.0,69.0
Resident Evil: Apocalypse,2004,"Action, Horror, Sci-Fi",94,"Germany, France, UK, Canada, USA",English,6.2,129.342769,20.0,62.0
Sahara,2005,"Action, Adventure, Comedy",124,"UK, Spain, Germany, USA, France","English, French, Arabic",6.0,119.240351,38.0,60.0
Thumbsucker,2005,"Comedy, Drama",96,USA,English,6.6,2.138742,71.0,66.0
The Young Black Stallion,2003,"Adventure, Family, Drama",50,USA,English,5.6,9.645304,45.0,56.0
The Alamo,2004,"Drama, History, War",137,USA,"English, Spanish",6.0,25.819961,29.0,60.0
Big Fish,2003,"Adventure, Drama, Fantasy",125,USA,"English, Cantonese",8.0,123.218424,75.0,80.0
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",124,USA,"English, Japanese, French, Arabic",6.4,552.639571,44.0,64.0
Elf,2003,"Comedy, Family, Fantasy",97,USA,English,6.9,221.671773,84.0,69.0
How to Deal,2003,"Comedy, Drama, Romance",101,USA,English,5.6,14.390329,27.0,56.0
Masked and Anonymous,2003,"Comedy, Drama, Music",112,"UK, USA",English,5.4,0.546106,24.0,54.0
Party Monster,2003,"Biography, Crime, Drama",98,"USA, Netherlands",English,6.3,0.782606,29.0,63.0
Kingdom of Heaven,2005,"Action, Adventure, Drama",144,"UK, Germany, Spain, Morocco, USA, Italy, France","English, Arabic, Latin, Italian",7.2,218.122627,39.0,72.0
Underworld,2003,"Action, Fantasy, Thriller",121,"USA, UK, Germany, Hungary",English,7.0,95.708457,31.0,70.0
2 Fast 2 Furious,2003,"Action, Crime, Thriller",107,"USA, Germany","English, Spanish",5.9,236.350661,36.0,59.0
Freaky Friday,2003,"Comedy, Family, Fantasy",97,USA,"English, Mandarin",6.2,160.846332,88.0,62.0
Honey,2003,"Drama, Music, Romance",94,USA,English,5.4,62.228395,21.0,54.0
Northfork,2003,"Drama, Fantasy",103,USA,English,6.3,1.599804,56.0,63.0
Laws of Attraction,2004,"Comedy, Romance",90,"Ireland, UK, Germany",English,5.9,30.031874,18.0,59.0
Chasing Papi,2003,"Comedy, Romance",80,USA,"English, Spanish",4.8,12.661189,14.0,48.0
Melvin Goes to Dinner,2003,"Comedy, Drama, Romance",83,USA,English,6.8,0.004168,100.0,68.0
Piglet's Big Movie,2003,"Animation, Adventure, Comedy",75,USA,English,6.2,62.870546,70.0,62.0
Shade,2003,"Crime, Thriller",101,USA,English,6.3,0.459098,67.0,63.0
Shattered Glass,2003,"Drama, History",94,"USA, Canada",English,7.1,2.944752,92.0,71.0
Suspect Zero,2004,"Crime, Horror, Mystery",99,"UK, Germany, USA",English,5.8,11.416075,18.0,58.0
Swimming Pool,2003,"Crime, Drama, Mystery",102,"France, UK","English, French",6.7,22.441497,83.0,67.0
The Texas Chainsaw Massacre,2003,Horror,98,USA,English,6.2,107.362708,37.0,62.0
Wicker Park,2004,"Drama, Mystery, Romance",114,USA,"English, Chinese",7.0,21.741598,27.0,70.0
Dickie Roberts: Former Child Star,2003,Comedy,98,USA,English,5.6,23.769505,22.0,56.0
Head of State,2003,Comedy,95,USA,English,5.5,38.620484,30.0,55.0
The Last Samurai,2003,"Action, Drama, War",154,"USA, New Zealand, Japan","English, Japanese",7.7,454.627263,66.0,77.0
Matchstick Men,2003,"Comedy, Crime, Drama",116,"USA, UK",English,7.3,65.565672,82.0,73.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",143,USA,English,8.0,654.264015,79.0,80.0
Biker Boyz,2003,"Action, Drama",110,USA,English,4.7,23.510621,23.0,47.0
Dot the I,2003,"Drama, Romance, Thriller",92,"UK, Spain, USA",English,6.8,0.307486,25.0,68.0
Envy,2004,Comedy,99,USA,English,4.8,14.494036,8.0,48.0
Good Boy!,2003,"Comedy, Drama, Family",88,USA,English,5.1,45.490616,44.0,51.0
The Great Raid,2005,"Action, Drama, War",132,"USA, Australia","Filipino, English, Tagalog, Japanese",6.7,10.777375,38.0,67.0
In My Sleep,2010,"Drama, Mystery, Thriller",104,USA,English,5.5,0.030158,13.0,55.0
Mystic River,2003,"Crime, Drama, Mystery",138,"USA, Australia",English,7.9,156.595191,88.0,79.0
Over the Hedge,2006,"Animation, Adventure, Comedy",83,USA,English,6.7,339.79589,75.0,67.0
Secondhand Lions,2003,"Comedy, Drama, Family",111,USA,English,7.5,48.260279,60.0,75.0
The Stepford Wives,2004,"Comedy, Horror, Sci-Fi",93,USA,English,5.3,103.370127,26.0,53.0
Uncle Nino,2003,"Comedy, Drama, Family",104,USA,English,6.6,0.165,21.0,66.0
Around the World in 80 Days,2004,"Action, Adventure, Comedy",120,"USA, Germany, Ireland, UK","English, Cantonese, French, German, Hindi, Turkish",5.9,72.178895,32.0,59.0
Catwoman,2004,"Action, Crime, Fantasy",104,USA,"English, Spanish",3.4,82.102379,9.0,34.0
Coraline,2009,"Animation, Drama, Family",100,USA,"English, Russian",7.7,124.596837,90.0,77.0
Dirty Love,2005,"Comedy, Romance",91,USA,English,3.6,0.036099,6.0,36.0
Ella Enchanted,2004,"Comedy, Family, Fantasy",96,"USA, Ireland, UK",English,6.3,27.388767,50.0,63.0
The Rundown,2003,"Action, Adventure, Comedy",104,USA,"English, Portuguese",6.7,80.981914,69.0,67.0
Malibu's Most Wanted,2003,"Comedy, Crime",86,USA,English,5.2,34.622504,31.0,52.0
Man on Fire,2004,"Action, Crime, Drama",146,"USA, UK, Mexico, Switzerland","English, Spanish",7.7,130.834852,38.0,77.0
Thirteen,2003,Drama,100,"USA, UK","English, Spanish, Portuguese",6.8,10.12896,81.0,68.0
Under the Tuscan Sun,2003,"Comedy, Drama, Romance",113,"USA, Italy","English, Italian, Polish, French, Spanish, German",6.8,58.878723,62.0,68.0
American Wedding,2003,Comedy,96,"USA, Germany",English,6.3,232.722935,54.0,63.0
Brother Bear,2003,"Animation, Adventure, Comedy",85,USA,"English, Inuktitut, Croatian, Serbian",6.8,250.397798,37.0,68.0
Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy,85,USA,English,3.4,39.267515,10.0,34.0
The Dust Factory,2004,"Drama, Family, Fantasy",99,USA,English,6.0,0.012311,9.0,60.0
Freddy vs. Jason,2003,"Action, Horror",97,"Canada, USA",English,5.7,116.632628,41.0,57.0
Marigold,2007,"Comedy, Romance",110,"USA, India",English,4.8,0.953308,30.0,48.0
Seabiscuit,2003,"Drama, History, Sport",140,USA,English,7.3,148.336445,78.0,73.0
Torque,2004,"Action, Comedy, Crime",84,USA,English,4.1,46.546197,23.0,41.0
Hollywood Homicide,2003,"Action, Comedy, Crime",116,USA,English,5.3,51.142659,30.0,53.0
xXx: State of the Union,2005,"Action, Adventure, Crime",101,USA,English,4.4,71.022693,17.0,44.0
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",157,"UK, USA","English, French",7.7,896.381256,88.0,77.0
Mambo Italiano,2003,"Comedy, Drama, Romance",88,Canada,"English, Italian, French",6.7,9.638258,32.0,67.0
The Punisher,2004,"Action, Crime, Drama",124,"USA, Germany",English,6.4,54.700105,29.0,64.0
16 Years of Alcohol,2003,"Crime, Drama",102,UK,English,6.3,0.008046,80.0,63.0
