original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Best Years of Our Lives,1946,"Drama, Romance, War",170,USA,English,8.0,23.65662,97.0,80.0
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100,USA,"English, French",7.8,0.012459,97.0,78.0
Brief Encounter,1945,"Drama, Romance",86,UK,"English, French",8.0,0.107384,91.0,80.0
Detour,1945,"Crime, Drama, Film-Noir",68,USA,English,7.4,0.016172,100.0,74.0
Mildred Pierce,1945,"Crime, Drama, Film-Noir",111,USA,English,8.0,0.010128,86.0,80.0
The Big Sleep,1946,"Crime, Film-Noir, Mystery",114,USA,English,7.9,0.022356,97.0,79.0
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130,USA,"English, French",8.6,6.13072,94.0,86.0
The Killers,1946,"Crime, Drama, Film-Noir",103,USA,English,7.8,0.058222,100.0,78.0
My Darling Clementine,1946,"Biography, Drama, Western",97,USA,"English, Spanish",7.8,0.015293,100.0,78.0
Dark Passage,1947,"Film-Noir, Thriller",106,USA,English,7.5,0.009693,93.0,75.0
The Ghost and Mrs. Muir,1947,"Comedy, Drama, Fantasy",104,USA,English,7.9,0.029545,100.0,79.0
Monsieur Verdoux,1947,"Comedy, Crime, Drama",124,USA,English,7.9,0.064636,97.0,79.0
Odd Man Out,1947,"Crime, Drama, Thriller",116,UK,English,7.7,0.065759,100.0,77.0
The Secret Life of Walter Mitty,1947,"Comedy, Fantasy, Romance",110,USA,"English, French, German",7.0,0.956625,71.0,70.0
Key Largo,1948,"Action, Crime, Drama",100,USA,"English, Italian",7.8,9.52442,97.0,78.0
The Red Shoes,1948,"Drama, Music, Romance",135,UK,"English, French, Russian",8.1,0.030165,97.0,81.0
Rope,1948,"Crime, Drama, Mystery",80,USA,English,8.0,0.010046,94.0,80.0
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",8.2,0.215295,100.0,82.0
In the Good Old Summertime,1949,"Comedy, Musical, Romance",102,USA,English,7.2,7.70412,64.0,72.0
Kind Hearts and Coronets,1949,"Comedy, Crime",106,UK,English,8.0,0.145583,100.0,80.0
A Letter to Three Wives,1949,"Drama, Romance",103,USA,"English, Spanish",7.7,0.014768,94.0,77.0
Little Women,1949,"Drama, Family, Romance",122,USA,"German, English",7.3,12.9056,71.0,73.0
The Third Man,1949,"Film-Noir, Mystery, Thriller",104,UK,"English, German, Russian",8.1,1.225424,99.0,81.0
White Heat,1949,"Action, Crime, Drama",114,USA,English,8.1,0.005534,97.0,81.0
All About Eve,1950,Drama,138,USA,"English, French",8.2,0.150438,99.0,82.0
The Asphalt Jungle,1950,"Crime, Drama, Film-Noir",112,USA,"English, German",7.9,0.029868,97.0,79.0
Born Yesterday,1950,"Comedy, Drama, Romance",103,USA,English,7.6,12.0,97.0,76.0
Cinderella,1950,"Animation, Family, Fantasy",74,USA,English,7.3,95.126535,97.0,73.0
The Flame and the Arrow,1950,"Adventure, Drama, Romance",88,USA,English,7.0,0.006713,100.0,70.0
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94,USA,English,8.0,0.021493,98.0,80.0
The Men,1950,Drama,85,USA,"English, Spanish",7.1,0.005995,77.0,71.0
Treasure Island,1950,"Adventure, Family",96,"UK, USA",English,6.9,4.419657,100.0,69.0
The African Queen,1951,"Adventure, Drama, Romance",105,"UK, USA","English, German, Swahili",7.7,0.051357,98.0,77.0
An American in Paris,1951,"Drama, Musical, Romance",114,USA,"English, French, German",7.2,0.272619,96.0,72.0
Pandora and the Flying Dutchman,1951,"Drama, Fantasy, Mystery",122,UK,"English, Spanish",7.0,0.031805,66.0,70.0
